P-Reps,prep_total_votes,prep_ranking,total_voter_count
ICON Foundation,48288300.61064643,1,5984
ICX_Station,20238489.426611397,2,4892
VELIC,17845040.887166195,3,3897
Ubik Capital,14408727.804043753,4,3771
ICONation,14079456.811856534,5,4063
RHIZOME,12249764.410052573,6,3123
ICON Hyperconnect,11527997.24486177,7,1338
ICONbet Community,9129966.31887091,8,619
Symmetry SLC,8997834.452935483,9,944
NEOPLY,8503098.598343566,10,219
Mineable,7146314.0586655885,11,1726
Everstake,6434215.484581085,12,1029
weBloc asia,6329000.529785882,13,1486
ICON DAO,6317373.0615797825,14,908
Stakin,5972455.075327234,15,1142
ReliantNode,5391562.470565856,16,570
iBriz - ICONOsphere,5230838.021712879,17,358
ICONVIET,5209360.243786513,18,990
block42,5165632.490616519,19,740
ICONPLUS,5034265.101534503,20,456
Citadel.one,4394080.356240596,21,1035
Blockmove,4278054.163140547,22,464
PARROT9,4176286.7128281705,23,304
Icon Pilipinas,3628887.7065870594,24,297
InterBlock,3522467.026423977,25,290
Sharpn,3063643.5155087323,26,498
Insight,3052173.082566503,27,396
Deblock with STAYGE,2979088.419124261,28,418
ICON Forge,2759798.0674114935,29,140
Catalyst,2730183.486321067,30,178
ICONologist,2262952.999720342,31,178
ICONTROL,2153424.462893924,32,65
Transform Group,1950182.3486783202,33,51
Bara-Node,1879750.34120947,34,40
MouseBelt | Multi.io,1826299.7186924198,35,189
MinerGate,1826292.4396624982,36,160
Orangebloc,1778666.8289984632,37,42
Midos,1703042.2116229504,38,76
Iconoscope,1679828.6292086293,39,96
Piconbello,1679503.533150074,40,167
Hourglass,1586197.8336789336,41,45
ICON Sweden,1534879.9508843163,42,503
Cardinal,1532478.6305869215,43,46
DEMOS,1357249.2984118052,44,135
OneLife 9to5,1221206.2595591045,45,41
Yudus Lab,1192102.4935995252,46,18
ICON Labs,1077899.2765326232,47,185
StakingTeam,1066814.8310384436,48,183
Silicon Valley ICON,1044119.4596976493,49,147
Chainode Tech,1009417.3895857604,50,220
Newroad,959040.5868792819,51,267
ICONNECT-Global,926199.6605883132,52,145
Metanyx,921995.6639998748,53,150
Blockchain at Berkeley,897404.3129898888,54,317
ICX_Stratos,892786.1246743322,55,47
ICX Australia,854185.7166478569,56,397
HOLA ICON,780861.5909956769,57,102
ICX Belgium,758227.4364030302,58,111
Alice,756488.072121853,59,50
RHYTHM (Australia),741177.5216022608,60,81
iconic innovation,700596.2269716077,61,94
Progression,683131.2556703115,62,52
ICON Russia,662328.7481354601,63,61
Signal9,658363.909956371,64,359
ICON Chicago,620477.9793790568,65,108
Hermes Greece,611532.740207343,66,63
The Iconist,588086.9676560129,67,216
ICX Malta,579511.5384339726,68,59
Foundry Box Media,577023.9287700587,69,93
POCKET / FIGMENT,554902.8962149463,70,213
Espanicon,518563.61301275564,71,89
ICON4Education,495439.55633574456,72,111
ICON Spark,475398.64653317735,73,90
UNBLOCK,452730.52316990925,74,154
Blockheads Development,449141.67824774486,75,148
Transcranial Solutions,427356.1774985337,76,48
ICON Thailand,425756.7013268631,77,80
ICON USA,419244.1497340512,78,127
ICONSG,398002.7322862003,79,49
DRAICON BALL,396854.515927973,80,110
Wetez,395905.34259047615,81,40
ICON Oasis,387936.4171817242,82,85
ICON-NYC,371243.77831870416,83,93
ICON Guide Star,317827.43549092906,84,69
Staked Tech,315237.51800375496,85,79
Plan-P,302081.21171827015,86,55
Iconserve,302061.7704696855,87,77
GagarinCrypto,300453.5422,88,28
Staked,297438.2133282571,89,185
Icon-4-Business,291178.1714881159,90,73
ICONLEO,280037.9138695717,91,35
ICON Econ,268213.0109378388,92,76
Sunrise,246310.32968164337,93,67
Sicko Node,226302.2158318993,94,51
icon-node-NL,226079.84699694059,95,55
DELIGHT,215568.698452163,96,76
Frontlines Media,206143.30047446556,97,34
ICON BOOM,199334.01718787279,98,75
ICON London,197733.5329148738,99,132
ICONIST VOTE WISELY,174221.10004459327,100,30
RemICX,169221.00635436206,101,28
Icon Panda,160091.9023833024,102,40
HypoICON,158358.65225305784,103,62
ICX FREEZER,143755.7480270338,104,75
DSNC,141740.23368353478,105,65
InfStones,138224.4640852482,106,64
Gilga Capital,126248.40736910797,107,82
loop57,116282.17284943123,108,43
ICXmerch,87809.74889329216,109,42
A_Block,85832.81108224593,110,62
X-node,74745.55377374022,111,61
FOCUS,65773.64697316295,112,50
mirai,46649.284799999994,113,20
manifest-icon,45413.892383888844,114,48
Xangle,43042.55323424742,115,46
HASHRATE PLUS,36410.73043868611,116,64
FOMO MASTERNODE,34843.51646905528,117,58
Nodeasy.com,31782.668687208672,118,25
IFnLIFE,29084.53311983359,119,37
MW node,26967.685400000002,120,18
Noris [New Node],25791.560499999992,121,35
neo_icon,25497.284415922586,122,42
PakChina,23340.606499999998,123,36
Bit Cat,22023.317025363118,124,34
nel node,21600.080900000004,125,26
DFG Crypto,20174.4071,126,30
Azabu Research,18574.151308,127,48
Common Computer Online,14616.510816561458,128,25
Sesameseed,13752.71633858625,129,21
iccc node,12356.143496200337,130,21
Cobo ICON,9348.301783080211,131,28
OZYS node,4436.2635,132,8
